t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q,void,gamma,G,nu,Sy,M,Group
1.68,-260314.436073625,-677047.722141955,-677047.722141955,-0.0016,0.000799999999999999,0.000799999999999999,0,0.00160000000009252,538136.626785845,416733.28606833,0.00455324938949956,0.5,0.00455324938949956,100000000,0.25,100000,0.577350269189626,1
1.7,-265308.424234104,-686729.210302434,-686729.210302434,-0.0015,0.000749999999999999,0.000749999999999999,0,0.00150000000009868,546255.614946324,421420.78606833,0.00463762438949956,0.5,0.00463762438949956,100000000,0.25,100000,0.577350269189626,1
1.72,-270302.412394583,-696410.698462913,-696410.698462913,-0.0014,0.000699999999999999,0.000699999999999999,0,0.00140000000010573,554374.603106803,426108.28606833,0.00472199938949956,0.5,0.00472199938949956,100000000,0.25,100000,0.577350269189626,1
1.74,-275296.400555062,-706092.186623392,-706092.186623392,-0.0013,0.000649999999999999,0.000649999999999999,0,0.00130000000011387,562493.591267282,430795.78606833,0.00480637438949956,0.5,0.00480637438949956,100000000,0.25,100000,0.577350269189626,1
1.76,-280290.388715541,-715773.674783871,-715773.674783871,-0.0012,0.000599999999999999,0.000599999999999999,0,0.00120000000012336,570612.579427761,435483.28606833,0.00489074938949956,0.5,0.00489074938949956,100000000,0.25,100000,0.577350269189626,1
1.78,-285284.37687602,-725455.162944351,-725455.16294435,-0.0011,0.000549999999999999,0.000549999999999999,0,0.00110000000013457,578731.56758824,440170.78606833,0.00497512438949956,0.5,0.00497512438949956,100000000,0.25,100000,0.577350269189626,1
1.8,-290278.365036499,-735136.65110483,-735136.65110483,-0.000999999999999998,0.000499999999999999,0.000499999999999999,0,0.00100000000014803,586850.55574872,444858.28606833,0.00505949938949956,0.5,0.00505949938949956,100000000,0.25,100000,0.577350269189626,1
1.82,-295272.353196978,-744818.139265309,-744818.139265309,-0.000899999999999999,0.00045,0.00045,0,0.000900000000164477,594969.543909198,449545.78606833,0.00514387438949955,0.5,0.00514387438949955,100000000,0.25,100000,0.577350269189626,1
1.84,-300266.341357458,-754499.627425788,-754499.627425788,-0.000799999999999999,0.0004,0.0004,0,0.000800000000185036,603088.532069678,454233.28606833,0.00522824938949955,0.5,0.00522824938949955,100000000,0.25,100000,0.577350269189626,1
1.86,-305260.329517937,-764181.115586267,-764181.115586267,-0.000699999999999999,0.00035,0.00035,0,0.00070000000021147,611207.520230157,458920.78606833,0.00531262438949956,0.5,0.00531262438949956,100000000,0.25,100000,0.577350269189626,1
1.88,-310254.317678416,-773862.603746746,-773862.603746746,-0.000599999999999999,0.000299999999999999,0.000299999999999999,0,0.000600000000246715,619326.508390636,463608.28606833,0.00539699938949956,0.5,0.00539699938949956,100000000,0.25,100000,0.577350269189626,1
1.9,-315248.305838895,-783544.091907225,-783544.091907225,-0.000499999999999999,0.000249999999999999,0.000249999999999999,0,0.000500000000296058,627445.496551115,468295.78606833,0.00548137438949955,0.5,0.00548137438949955,100000000,0.25,100000,0.577350269189626,1
1.92,-320242.293999374,-793225.580067704,-793225.580067704,-0.000399999999999999,0.0002,0.0002,0,0.000400000000370074,635564.484711594,472983.28606833,0.00556574938949955,0.5,0.00556574938949955,100000000,0.25,100000,0.577350269189626,1
1.94,-325236.282159853,-802907.068228183,-802907.068228183,-0.000299999999999999,0.00015,0.00015,0,0.000300000000493432,643683.472872073,477670.78606833,0.00565012438949955,0.5,0.00565012438949955,100000000,0.25,100000,0.577350269189626,1
1.96,-330230.270320332,-812588.556388663,-812588.556388663,-0.000199999999999999,9.99999999999994e-05,9.99999999999994e-05,0,0.000200000000740148,651802.461032553,482358.28606833,0.00573449938949955,0.5,0.00573449938949955,100000000,0.25,100000,0.577350269189626,1
1.98,-335224.258480811,-822270.044549142,-822270.044549142,-9.99999999999995e-05,4.99999999999998e-05,4.99999999999998e-05,0,0.000100000001480297,659921.449193032,487045.78606833,0.00581887438949955,0.5,0.00581887438949955,100000000,0.25,100000,0.577350269189626,1
2,-340218.24664129,-831951.532709621,-831951.532709621,1.37558150634098e-18,-6.87790753170492e-19,-6.87790753170492e-19,0,1.72063788530119e-08,668040.437353511,491733.286068331,0.00590324938949956,0.5,0.00590324938949956,100000000,0.25,100000,0.577350269189626,1
2.02,-345212.234801769,-841633.0208701,-841633.0208701,0.000100000000000001,-5.00000000000007e-05,-5.00000000000007e-05,0,0.000100000001480299,676159.42551399,496420.786068331,0.00598762438949955,0.5,0.00598762438949955,100000000,0.25,100000,0.577350269189626,1
2.04,-350206.222962249,-851314.509030579,-851314.509030579,0.000200000000000002,-0.000100000000000001,-0.000100000000000001,0,0.00020000000074015,684278.413674469,501108.286068331,0.00607199938949955,0.5,0.00607199938949955,100000000,0.25,100000,0.577350269189626,1
2.06,-355200.211122728,-860995.997191058,-860995.997191058,0.000300000000000001,-0.000150000000000001,-0.000150000000000001,0,0.000300000000493434,692397.401834948,505795.786068331,0.00615637438949956,0.5,0.00615637438949956,100000000,0.25,100000,0.577350269189626,1
2.08,-360194.199283207,-870677.485351537,-870677.485351537,0.000400000000000002,-0.000200000000000001,-0.000200000000000001,0,0.000400000000370076,700516.389995427,510483.286068331,0.00624074938949956,0.5,0.00624074938949956,100000000,0.25,100000,0.577350269189626,1
2.1,-365188.187443686,-880358.973512017,-880358.973512017,0.000500000000000002,-0.000250000000000001,-0.000250000000000001,0,0.000500000000296061,708635.378155906,515170.786068331,0.00632512438949956,0.5,0.00632512438949956,100000000,0.25,100000,0.577350269189626,1
