t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q,void,gamma,G,nu,Sy,M,Group
0.95,-57495.1554633044,-249629.091260119,-249629.091260119,-0.00024897320014475,0.000124486600072375,0.000124486600072375,0,0.000248973200739311,185584.445994514,192133.935796814,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.96,-48079.0412855095,-254572.84203125,-254572.84203125,-0.000199474049917717,9.97370249588587e-05,9.97370249588587e-05,0,0.000199474050659818,185741.575116003,206493.800745741,0.000891052586531408,0.5,0.000891052586531408,100000000,0.25,100000,0.577350269189626,1
0.97,-48192.9626987922,-259414.330189942,-259414.330189942,-0.000149778044847547,7.48890224237735e-05,7.48890224237735e-05,0,0.000149778045835874,189007.207692892,211221.36749115,0.000924990035783548,0.5,0.000924990035783548,100000000,0.25,100000,0.577350269189626,1
0.98,-51823.4224116267,-264225.409428384,-264225.409428384,-9.99342303530452e-05,4.99671151765226e-05,4.99671151765226e-05,0,9.99342318343168e-05,193424.747089465,212401.987016758,0.000970898451859357,0.5,0.000970898451859357,100000000,0.25,100000,0.577350269189626,1
0.99,-54081.4178987708,-269063.589993426,-269063.589993426,-4.99917893933567e-05,2.49958946966784e-05,2.49958946966784e-05,0,4.99917923544376e-05,197402.865961874,214982.172094655,0.00101224027589272,0.5,0.00101224027589272,100000000,0.25,100000,0.577350269189626,1
1,-56573.2944675552,-273903.597825654,-273903.597825654,-1.36374243806816e-11,6.81871219034079e-12,6.81871219034079e-12,0,1.7206384257383e-08,201460.163372954,217330.303358099,0.00105440494743717,0.5,0.00105440494743717,100000000,0.25,100000,0.577350269189626,1
1,-56573.2944675552,-273903.597825654,-273903.597825654,-1.36374243806816e-11,6.81871219034079e-12,6.81871219034079e-12,0,1.7206384257383e-08,201460.163372954,217330.303358099,0.00105440494743717,0.5,0.00105440494743717,100000000,0.25,100000,0.577350269189626,1
1.02,-61563.9978929946,-283578.718104917,-283578.718104917,9.99342125774928e-05,-4.99671062887464e-05,-4.99671062887464e-05,0,9.99342140587646e-05,209573.81136761,222014.720211923,0.00113872445080601,0.5,0.00113872445080601,100000000,0.25,100000,0.577350269189626,1
1.04,-66535.0039754618,-293215.652552207,-293215.652552207,0.000199474017693697,-9.97370088468483e-05,-9.97370088468483e-05,0,0.000199474018435797,217655.436359958,226680.648576745,0.00122271116137281,0.5,0.00122271116137281,100000000,0.25,100000,0.577350269189626,1
1.06,-71466.6967912039,-302776.373177172,-302776.373177172,0.000298226610957133,-0.000149113305478567,-0.000149113305478567,0,0.0002982266114535,225673.147715183,231309.676385969,0.00130603366193883,0.5,0.00130603366193883,100000000,0.25,100000,0.577350269189626,1
1.08,-76339.8139986419,-312223.537453972,-312223.537453972,0.000395806281770179,-0.00019790314088509,-0.00019790314088509,0,0.000395806282144175,233595.629635529,235883.72345533,0.00138836650918734,0.5,0.00138836650918734,100000000,0.25,100000,0.577350269189626,1
1.1,-81135.0069935861,-321519.6356256,-321519.6356256,0.000491825592206111,-0.000245912796103056,-0.000245912796103056,0,0.000491825592507091,241391.426081596,240384.628632014,0.00146938280236766,0.5,0.00146938280236766,100000000,0.25,100000,0.577350269189626,1
1.12,-85833.0784778318,-330627.45126116,-330627.45126116,0.000585900134100801,-0.0002929500670504,-0.0002929500670504,0,0.000585900134353454,249029.32700005,244794.372783328,0.0015487581970913,0.5,0.0015487581970913,100000000,0.25,100000,0.577350269189626,1
1.14,-90415.4284089938,-339510.92578695,-339510.92578695,0.000677657458786214,-0.000338828729393107,-0.000338828729393107,0,0.000677657459004657,256479.093327632,249095.497377957,0.00162617843979462,0.5,0.00162617843979462,100000000,0.25,100000,0.577350269189626,1
1.16,-94864.0540005053,-348135.158486471,-348135.158486471,0.000766737077090411,-0.000383368538545205,-0.000383368538545205,0,0.000766737077283475,263711.456991149,253271.104485966,0.00170133936773879,0.5,0.00170133936773879,100000000,0.25,100000,0.577350269189626,1
