t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q
0.86,206964154.851084,5.34783341882427e-09,4.99621890934485e-09,0.00172,-0.000549553767723373,-0.000549553767723373,0.000620892464553254,0.00151303584524675,-68988051.6170282,206964154.851084,0.000685179225744577
0.87,207154644.625603,5.44027820428738e-09,5.04500867278482e-09,0.00174,-0.000559268033061596,-0.000559268033061596,0.000621463933876809,0.00153284535547097,-69051548.2085342,207154644.625603,0.000704226776871987
0.88,207345134.400121,5.53272298975049e-09,5.0937984362248e-09,0.00176,-0.000568982298399819,-0.000568982298399819,0.000622035403200363,0.00155265486569522,-69115044.8000403,207345134.400121,0.000723274327999396
0.89,207535624.174639,5.6251677752136e-09,5.14258819966477e-09,0.00178,-0.000578696563738041,-0.000578696563738041,0.000622606872523917,0.0015724643759195,-69178541.3915463,207535624.174639,0.000742321879126805
0.9,207726113.47109,5.72433401376383e-09,5.2179374742397e-09,0.0018,-0.000588410829793365,-0.000588410829793365,0.00062317834041327,0.00159227388662188,-69242037.8236967,207726113.47109,0.00076136943264455
0.91,207916599.330052,5.87183010801596e-09,5.48425993928803e-09,0.00182,-0.000598125101004921,-0.000598125101004921,0.000623749797990158,0.00161208340076177,-69305533.1100175,207916599.330052,0.000780417003349738
0.92,208107085.189015,6.01932620226808e-09,5.75058240433636e-09,0.00184,-0.000607839372216477,-0.000607839372216477,0.000624321255567045,0.0016318929149017,-69369028.3963383,208107085.189015,0.000799464574054926
0.93,208297571.047977,6.16682229652021e-09,6.01690486938469e-09,0.00186,-0.000617553643428034,-0.000617553643428034,0.000624892713143933,0.00165170242904164,-69432523.6826591,208297571.047977,0.000818512144760113
0.94,208488056.90694,6.31431839077233e-09,6.28322733443302e-09,0.00188,-0.00062726791463959,-0.00062726791463959,0.00062546417072082,0.00167151194318162,-69496018.9689799,208488056.90694,0.000837559715465301
0.95,208678542.765902,6.46181448502446e-09,6.54954979948135e-09,0.0019,-0.000636982185851146,-0.000636982185851146,0.000626035628297708,0.00169132145732162,-69559514.2553007,208678542.765902,0.000856607286170489
0.96,208869028.624865,6.60931057927658e-09,6.81587226452968e-09,0.00192,-0.000646696457062703,-0.000646696457062703,0.000626607085874595,0.00171113097146164,-69623009.5416216,208869028.624865,0.000875654856875676
0.97,209059514.483827,6.75680667352871e-09,7.08219472957801e-09,0.00194,-0.000656410728274259,-0.000656410728274259,0.000627178543451482,0.00173094048560169,-69686504.8279424,209059514.483827,0.000894702427580864
0.98,209250000.34279,6.90430276778083e-09,7.34851719462634e-09,0.00196,-0.000666124999485815,-0.000666124999485815,0.000627750001028369,0.00175074999974176,-69750000.1142632,209250000.34279,0.000913749998286052
0.99,209440486.201752,7.05179886203296e-09,7.61483965967467e-09,0.00198,-0.000675839270697372,-0.000675839270697372,0.000628321458605257,0.00177055951388185,-69813495.400584,209440486.201752,0.00093279756899124
1,209630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.002,-0.000685553541908928,-0.000685553541908928,0.000628892916182144,0.00179036902802197,-69876990.6869048,209630972.060715,0.000951845139696427
1.02,201630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.00196,-0.000677194304179506,-0.000677194304179506,0.000605611391640987,0.00175812953620387,-67210324.0202382,201630972.060715,0.000951845139696427
1.04,193630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.00192,-0.000669188857128196,-0.000669188857128196,0.000581622285743608,0.00172612590483789,-64543657.3535715,193630972.060715,0.000951845139696427
1.06,185630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.00188,-0.000661187797242973,-0.000661187797242973,0.000557624405514055,0.00169412519824936,-61876990.6869048,185630972.060715,0.000951845139696427
1.08,177630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.00184,-0.000653187609748758,-0.000653187609748758,0.000533624780502485,0.0016621250732549,-59210324.0202382,177630972.060715,0.000951845139696427
1.1,169630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.0018,-0.000645187544331696,-0.000645187544331696,0.000509624911336608,0.00163012502964527,-56543657.3535715,169630972.060715,0.000951845139696427
1.12,161630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.00176,-0.000637187518499246,-0.000637187518499246,0.000485624963001508,0.00159812501242546,-53876990.6869048,161630972.060715,0.000951845139696427
1.14,153630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.00172,-0.000629187492666796,-0.000629187492666796,0.000461625014666407,0.00156612499520572,-51210324.0202382,153630972.060715,0.000951845139696427
1.16,145630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.00168,-0.000621187466834347,-0.000621187466834347,0.000437625066331307,0.00153412497798606,-48543657.3535715,145630972.060715,0.000951845139696427
1.18,137630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.00164,-0.000613187441001897,-0.000613187441001897,0.000413625117996206,0.00150212496076648,-45876990.6869049,137630972.060715,0.000951845139696427
1.2,129630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.0016,-0.000605187415169447,-0.000605187415169447,0.000389625169661106,0.00147012494354699,-43210324.0202382,129630972.060715,0.000951845139696427
1.22,121630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.00156,-0.000597187389336997,-0.000597187389336997,0.000365625221326006,0.0014381249263276,-40543657.3535715,121630972.060715,0.000951845139696427
1.24,113630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.00152,-0.000589187363504548,-0.000589187363504548,0.000341625272990905,0.00140612490910831,-37876990.6869049,113630972.060715,0.000951845139696427
1.26,105630972.060715,7.19929495628508e-09,7.88116212472301e-09,0.00148,-0.000581187337672098,-0.000581187337672098,0.000317625324655805,0.00137412489188913,-35210324.0202382,105630972.060715,0.000951845139696427
1.28,97630972.0607145,7.19929495628508e-09,7.88116212472301e-09,0.00144,-0.000573187311839648,-0.000573187311839648,0.000293625376320704,0.00134212487467006,-32543657.3535715,97630972.0607145,0.000951845139696427
1.3,89630972.0607145,7.19929495628508e-09,7.88116212472301e-09,0.0014,-0.000565187301626858,-0.000565187301626858,0.000269625396746285,0.00131012486786423,-29876990.6869049,89630972.0607145,0.000951845139696427
1.32,81630972.0607145,7.19929495628508e-09,7.88116212472301e-09,0.00136,-0.000557187297593944,-0.000557187297593944,0.000245625404812113,0.00127812486517845,-27210324.0202382,81630972.0607145,0.000951845139696427
1.34,73630972.0607145,7.19929495628508e-09,7.88116212472301e-09,0.00132,-0.000549187293561029,-0.000549187293561029,0.000221625412877941,0.00124612486249281,-24543657.3535715,73630972.0607145,0.000951845139696427
1.36,65630972.0607146,7.19929495628508e-09,7.88116212472301e-09,0.00128,-0.000541187289528116,-0.000541187289528116,0.00019762542094377,0.00121412485980733,-21876990.6869049,65630972.0607146,0.000951845139696427
1.38,57630972.0607146,7.19929495628508e-09,7.88116212472301e-09,0.00124,-0.000533187285495201,-0.000533187285495201,0.000173625429009598,0.00118212485712202,-19210324.0202382,57630972.0607146,0.000951845139696427
1.4,49630972.0607146,7.19929495628508e-09,7.88116212472301e-09,0.0012,-0.000525187281462287,-0.000525187281462287,0.000149625437075426,0.0011501248544369,-16543657.3535715,49630972.0607146,0.000951845139696427
1.42,41630972.0607146,7.19929495628508e-09,7.88116212472301e-09,0.00116,-0.000517187277429373,-0.000517187277429373,0.000125625445141254,0.00111812485175197,-13876990.6869049,41630972.0607146,0.000951845139696427
1.44,33630972.0607146,7.19929495628508e-09,7.88116212472301e-09,0.00112,-0.000509187273396459,-0.000509187273396459,0.000101625453207082,0.00108612484906726,-11210324.0202382,33630972.0607146,0.000951845139696427
1.46,25630972.0607145,7.19929495628508e-09,7.88116212472301e-09,0.00108,-0.000501187269363545,-0.000501187269363545,7.76254612729103e-05,0.00105412484638279,-8543657.35357152,25630972.0607145,0.000951845139696427
1.48,17630972.0607145,7.19929495628508e-09,7.88116212472301e-09,0.00104,-0.000493187265330631,-0.000493187265330631,5.36254693387387e-05,0.00102212484369858,-5876990.68690485,17630972.0607145,0.000951845139696427
1.5,9630972.06071453,7.19929495628508e-09,7.88116212472301e-09,0.001,-0.000485187263736229,-0.000485187263736229,2.96254725275422e-05,0.000990124842640326,-3210324.02023818,9630972.06071452,0.000951845139696427
1.52,1630972.06071451,7.19929495628508e-09,7.88116212472301e-09,0.00096,-0.000477187263106618,-0.000477187263106618,5.62547378676437e-06,0.000958124842225578,-543657.353571509,1630972.06071451,0.000951845139696427
1.54,-6369027.9392855,7.19929495628508e-09,7.88116212472301e-09,0.00092,-0.000469187262477007,-0.000469187262477007,-1.83745249540135e-05,0.000926124841811176,2123009.31309516,6369027.93928551,0.000951845139696427
1.56,-14369027.9392855,7.19929495628508e-09,7.88116212472301e-09,0.00088,-0.000461187261847396,-0.000461187261847396,-4.23745236947915e-05,0.000894124841397156,4789675.97976183,14369027.9392855,0.000951845139696427
1.58,-22369027.9392855,7.19929495628508e-09,7.88116212472301e-09,0.00084,-0.000453187261217785,-0.000453187261217785,-6.63745224355694e-05,0.00086212484098356,7456342.6464285,22369027.9392855,0.000951845139696427
1.6,-30369027.9392855,7.19929495628508e-09,7.88116212472301e-09,0.0008,-0.000445187260588174,-0.000445187260588174,-9.03745211763472e-05,0.000830124840570438,10123009.3130952,30369027.9392855,0.000951845139696427
1.62,-38369027.9392855,7.19929495628508e-09,7.88116212472301e-09,0.00076,-0.000437187259958563,-0.000437187259958563,-0.000114374519917125,0.000798124840157847,12789675.9797618,38369027.9392856,0.000951845139696427
1.64,-46369027.9392855,7.19929495628508e-09,7.88116212472301e-09,0.00072,-0.000429187259328952,-0.000429187259328952,-0.000138374518657903,0.000766124839745853,15456342.6464285,46369027.9392856,0.000951845139696427
1.66,-54369027.9392856,7.19929495628508e-09,7.88116212472301e-09,0.00068,-0.00042118725869934,-0.00042118725869934,-0.000162374517398681,0.000734124839334535,18123009.3130952,54369027.9392856,0.000951845139696427
1.68,-62369027.9392856,7.19929495628508e-09,7.88116212472301e-09,0.00064,-0.000413187258069729,-0.000413187258069729,-0.000186374516139459,0.000702124838923984,20789675.9797619,62369027.9392856,0.000951845139696427
1.7,-70369027.9392855,7.19929495628508e-09,7.88116212472301e-09,0.0006,-0.000405187257820814,-0.000405187257820814,-0.000210374515641629,0.000670124838768109,23456342.6464285,70369027.9392855,0.000951845139696427
1.72,-78369027.9392855,7.19929495628508e-09,7.88116212472301e-09,0.00056,-0.000397187257722521,-0.000397187257722521,-0.000234374515445041,0.000638124838713657,26123009.3130952,78369027.9392855,0.000951845139696427
1.74,-86369027.9392855,7.19929495628508e-09,7.88116212472301e-09,0.00052,-0.000389187257624227,-0.000389187257624227,-0.000258374515248454,0.000606124838660375,28789675.9797618,86369027.9392855,0.000951845139696427
1.76,-94369027.9392855,7.19929495628508e-09,7.88116212472301e-09,0.00048,-0.000381187257525933,-0.000381187257525933,-0.000282374515051866,0.000574124838608458,31456342.6464285,94369027.9392855,0.000951845139696427
1.78,-102369027.939286,7.19929495628508e-09,7.88116212472301e-09,0.00044,-0.00037318725742764,-0.00037318725742764,-0.000306374514855279,0.000542124838558148,34123009.3130952,102369027.939286,0.000951845139696427
1.8,-110369027.939286,7.19929495628508e-09,7.88116212472301e-09,0.0004,-0.000365187257329346,-0.000365187257329346,-0.000330374514658692,0.000510124838509747,36789675.9797618,110369027.939286,0.000951845139696427
1.82,-118369027.939285,7.19929495628508e-09,7.88116212472301e-09,0.00036,-0.000357187257231052,-0.000357187257231052,-0.000354374514462104,0.00047812483846364,39456342.6464285,118369027.939285,0.000951845139696427
1.84,-126369027.939285,7.19929495628508e-09,7.88116212472301e-09,0.00032,-0.000349187257132758,-0.000349187257132758,-0.000378374514265517,0.000446124838420318,42123009.3130952,126369027.939285,0.000951845139696427
1.86,-134369027.939285,7.19929495628508e-09,7.88116212472301e-09,0.00028,-0.000341187257034465,-0.000341187257034465,-0.000402374514068929,0.000414124838380429,44789675.9797618,134369027.939285,0.000951845139696427
1.88,-142369027.939285,7.19929495628508e-09,7.88116212472301e-09,0.00024,-0.000333187256936171,-0.000333187256936171,-0.000426374513872342,0.000382124838344833,47456342.6464285,142369027.939285,0.000951845139696427
1.9,-150369027.939285,7.19929495628508e-09,7.88116212472301e-09,0.0002,-0.000325187256897311,-0.000325187256897311,-0.000450374513794621,0.000350124838354332,50123009.3130952,150369027.939286,0.000951845139696427
